DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Crm Cd Desc	Mocodes	Vict Age	Vict Sex	Vict Descent	Premis Cd	Premis Desc	Weapon Used Cd	Weapon Desc	Status	Status Desc	Crm Cd 1	Crm Cd 2	Crm Cd 3	Crm Cd 4	LOCATION	Cross Street	LAT	LON
200210990	06/05/2020 12:00:00 AM	06/05/2020 12:00:00 AM	1145	02	Rampart	0221	2	624	BATTERY - SIMPLE ASSAULT	0913 0344 1817 0416	41	F	W	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	AA	Adult Arrest	624	N/A	N/A	N/A	300 N  NEW HAMPSHIRE                AV	N/A	34.0763	-118.2932
200900692	04/21/2020 12:00:00 AM	04/19/2020 12:00:00 AM	1925	09	Van Nuys	0929	2	745	VANDALISM - MISDEAMEANOR ($399 OR UNDER)	0329 1402	75	F	W	501	SINGLE FAMILY DWELLING	N/A	N/A	IC	Invest Cont	745	998	N/A	N/A	6500    LONGRIDGE                    AV	N/A	34.189	-118.4209
200619173	12/12/2020 12:00:00 AM	12/05/2020 12:00:00 AM	1400	06	Hollywood	0666	2	354	THEFT OF IDENTITY	0100 0930 1822	43	F	W	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	N/A	N/A	IC	Invest Cont	354	N/A	N/A	N/A	6400    LA MIRADA                    AV	N/A	34.0935	-118.3299
201208306	03/02/2020 12:00:00 AM	03/02/2020 12:00:00 AM	1500	12	77th Street	1273	2	626	INTIMATE PARTNER - SIMPLE ASSAULT	2000 1814 0913 0400 0329	36	M	B	501	SINGLE FAMILY DWELLING	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	IC	Invest Cont	626	N/A	N/A	N/A	8900 S  SAINT ANDREWS                PL	N/A	33.9564	-118.3112
201111232	07/08/2020 12:00:00 AM	06/29/2020 12:00:00 AM	1700	11	Northeast	1162	2	626	INTIMATE PARTNER - SIMPLE ASSAULT	2000 1210 0913 1241 0448 1300	38	M	W	501	SINGLE FAMILY DWELLING	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	AO	Adult Other	626	N/A	N/A	N/A	4300    GATEWAY                      AV	N/A	34.0941	-118.2835
200204971	01/21/2020 12:00:00 AM	01/19/2020 12:00:00 AM	2030	02	Rampart	0233	1	510	VEHICLE - STOLEN	N/A	0	N/A	N/A	101	STREET	N/A	N/A	AO	Adult Other	510	N/A	N/A	N/A	RAMPART	COUNCIL	34.071	-118.2759
200918273	12/09/2020 12:00:00 AM	12/09/2020 12:00:00 AM	1315	09	Van Nuys	0914	2	888	TRESPASSING	1501	37	F	A	501	SINGLE FAMILY DWELLING	N/A	N/A	IC	Invest Cont	888	N/A	N/A	N/A	15000    MARLIN                       PL	N/A	34.1971	-118.4597
200808402	04/13/2020 12:00:00 AM	04/11/2020 12:00:00 AM	1930	08	West LA	0817	1	440	THEFT PLAIN - PETTY ($950 & UNDER)	0344 0346	53	F	W	402	MARKET	N/A	N/A	IC	Invest Cont	440	N/A	N/A	N/A	10800    WEYBURN                      AV	N/A	34.0623	-118.4434
200608725	04/01/2020 12:00:00 AM	03/29/2020 12:00:00 AM	1000	06	Hollywood	0663	1	440	THEFT PLAIN - PETTY ($950 & UNDER)	0344 0394	28	F	W	501	SINGLE FAMILY DWELLING	N/A	N/A	IC	Invest Cont	440	N/A	N/A	N/A	1200 N  ORANGE                       DR	N/A	34.0926	-118.3416
200317006	09/08/2020 12:00:00 AM	09/07/2020 12:00:00 AM	2200	03	Southwest	0308	2	740	VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)	1307 0329	27	F	B	122	VEHICLE, PASSENGER/TRUCK	N/A	N/A	IC	Invest Cont	740	N/A	N/A	N/A	2100    PORTLAND                     ST	N/A	34.0338	-118.2809
201114821	10/18/2020 12:00:00 AM	10/18/2020 12:00:00 AM	0615	11	Northeast	1134	1	510	VEHICLE - STOLEN	N/A	0	N/A	N/A	108	PARKING LOT	N/A	N/A	IC	Invest Cont	510	N/A	N/A	N/A	2700 N  SAN FERNANDO                 RD	N/A	34.1094	-118.2421
200312536	06/11/2020 12:00:00 AM	06/10/2020 12:00:00 AM	1330	03	Southwest	0358	1	420	THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)	1300 1602 0344 0385	19	X	X	101	STREET	N/A	N/A	IC	Invest Cont	420	N/A	N/A	N/A	800    DOWNEY                       WY	N/A	34.0199	-118.2867
200619188	12/12/2020 12:00:00 AM	12/12/2020 12:00:00 AM	1920	06	Hollywood	0645	2	624	BATTERY - SIMPLE ASSAULT	0329 0400 0416 1310 1822 0345 0446	33	M	W	101	STREET	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	IC	Invest Cont	624	N/A	N/A	N/A	HAWTHORN                     AV	ORANGE                       DR	34.1003	-118.3414
200517203	11/29/2020 12:00:00 AM	11/28/2020 12:00:00 AM	1230	05	Harbor	0587	1	510	VEHICLE - STOLEN	N/A	0	N/A	N/A	104	DRIVEWAY	N/A	N/A	IC	Invest Cont	510	N/A	N/A	N/A	700 W  40TH                         ST	N/A	33.7079	-118.2918
